Maker,Maker_Group,Month,Registerations,State 
AGI AUTO INDUSTRIES,Others,MAR,0,Bihar
AGI AUTO INDUSTRIES,Others,APR,0,Bihar
AGI AUTO INDUSTRIES,Others,MAY,0,Bihar
AGI AUTO INDUSTRIES,Others,JUN,0,Bihar
AGI AUTO INDUSTRIES,Others,JUL,0,Bihar
AGI AUTO INDUSTRIES,Others,AUG,0,Bihar
AGI AUTO INDUSTRIES,Others,SEP,0,Bihar
AGI AUTO INDUSTRIES,Others,OCT,0,Bihar
AGI AUTO INDUSTRIES,Others,NOV,0,Bihar
AGI AUTO INDUSTRIES,Others,DEC,12,Bihar
A.J ENTERPRISES,Others,JAN,16,Bihar
A.J ENTERPRISES,Others,FEB,14,Bihar
A.J ENTERPRISES,Others,MAR,19,Bihar
A.J ENTERPRISES,Others,APR,13,Bihar
A.J ENTERPRISES,Others,MAY,20,Bihar
A.J ENTERPRISES,Others,JUN,16,Bihar
A.J ENTERPRISES,Others,JUL,12,Bihar
A.J ENTERPRISES,Others,AUG,13,Bihar
A.J ENTERPRISES,Others,SEP,7,Bihar
A.J ENTERPRISES,Others,OCT,15,Bihar
A.J ENTERPRISES,Others,NOV,13,Bihar
A.J ENTERPRISES,Others,DEC,9,Bihar
AKG INTERNATIONAL,Others,JAN,6,Bihar
AKG INTERNATIONAL,Others,FEB,1,Bihar
AKG INTERNATIONAL,Others,MAR,4,Bihar
AKG INTERNATIONAL,Others,APR,4,Bihar
AKG INTERNATIONAL,Others,MAY,4,Bihar
AKG INTERNATIONAL,Others,JUN,5,Bihar
AKG INTERNATIONAL,Others,JUL,5,Bihar
AKG INTERNATIONAL,Others,AUG,11,Bihar
AKG INTERNATIONAL,Others,SEP,2,Bihar
AKG INTERNATIONAL,Others,OCT,2,Bihar
AKG INTERNATIONAL,Others,NOV,13,Bihar
AKG INTERNATIONAL,Others,DEC,10,Bihar
A K GUPTA & CO.,Others,JAN,0,Bihar
A K GUPTA & CO.,Others,FEB,0,Bihar
A K GUPTA & CO.,Others,MAR,0,Bihar
A K GUPTA & CO.,Others,APR,0,Bihar
A K GUPTA & CO.,Others,MAY,0,Bihar
A K GUPTA & CO.,Others,JUN,0,Bihar
A K GUPTA & CO.,Others,JUL,0,Bihar
A K GUPTA & CO.,Others,AUG,0,Bihar
A K GUPTA & CO.,Others,SEP,0,Bihar
A K GUPTA & CO.,Others,OCT,0,Bihar
A K GUPTA & CO.,Others,NOV,0,Bihar
A K GUPTA & CO.,Others,DEC,1,Bihar
ALBEDO VISION PVT LTD,Others,JAN,0,Bihar
ALBEDO VISION PVT LTD,Others,FEB,0,Bihar
ALBEDO VISION PVT LTD,Others,MAR,0,Bihar
ALBEDO VISION PVT LTD,Others,APR,0,Bihar
ALBEDO VISION PVT LTD,Others,MAY,0,Bihar
ALBEDO VISION PVT LTD,Others,JUN,0,Bihar
ALBEDO VISION PVT LTD,Others,JUL,0,Bihar
ALBEDO VISION PVT LTD,Others,AUG,3,Bihar
ALBEDO VISION PVT LTD,Others,SEP,0,Bihar
ALBEDO VISION PVT LTD,Others,OCT,0,Bihar
ALBEDO VISION PVT LTD,Others,NOV,0,Bihar
ALBEDO VISION PVT LTD,Others,DEC,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,JAN,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,FEB,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,MAR,1,Bihar
ALLENTTI MOTORS PVT LTD,Others,APR,1,Bihar
ALLENTTI MOTORS PVT LTD,Others,MAY,0,Bihar
